@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
1,3.19826,3.571429,9.952381,2.528591,-0.669669,3.515152,5.820076,1.63041,-1.56785,-0.898181,2.583658,4.595513,1.311732,-1.886528,-1.216859,-0.318678,1.54154,2.552506,Spot
3,4.085374,4.285714,5.904762,2.786402,-1.298973,4.454545,6.943182,1.663758,-2.421616,-1.122643,2.821012,4.835025,1.31026,-2.775115,-1.476142,-0.353499,1.559777,2.554712,Spot
6,4.662823,6,7,2.917661,-1.745162,4.848485,7.570076,1.675237,-2.987586,-1.242424,2.964981,5.479238,1.307448,-3.355375,-1.610213,-0.367789,1.559271,2.545649,Spot
9,4.779446,6.428571,11.285714,2.893644,-1.885802,4.69697,7.655303,1.662789,-3.116657,-1.230855,2.906615,5.50687,1.303244,-3.476202,-1.5904,-0.359545,1.553698,2.545265,Spot
9,4.387765,6,8,2.720569,-1.667196,4.30303,6.967803,1.627679,-2.760086,-1.09289,2.657588,5.319796,1.297756,-3.090008,-1.422812,-0.329922,1.525836,2.526195,Spot
3,3.601515,4.571429,6.285714,2.437814,-1.163701,3.757576,6.189394,1.57378,-2.027735,-0.864034,2.435798,5.114026,1.290949,-2.310566,-1.146865,-0.282831,1.52077,2.527445,Spot
10,3.103738,3,10.666667,2.427882,-0.675856,2.787879,4.922348,1.625755,-1.477983,-0.802127,2.505836,4.352505,1.323061,-1.780677,-1.10482,-0.302693,1.539007,2.518245,Spot
4,3.793631,5.142857,6.142857,2.686602,-1.107029,3.818182,5.965909,1.659814,-2.133817,-1.026788,2.700389,5.671601,1.321334,-2.472297,-1.365269,-0.338481,1.553698,2.532087,Spot
6,4.223904,5.428571,1.285714,2.841804,-1.3821,4.333333,7.041667,1.672909,-2.550995,-1.168895,2.856031,5.647161,1.318285,-2.905619,-1.523519,-0.354624,1.56079,2.519111,Spot
5,4.45962,5.714286,6.571429,2.860116,-1.599504,4.636364,7.426136,1.662688,-2.796932,-1.197428,2.883269,5.658195,1.313864,-3.145756,-1.546252,-0.348824,1.537487,2.528498,Spot
8,4.372344,5.285714,5.904762,2.73342,-1.638924,4.393939,5.433712,1.630096,-2.742247,-1.103323,2.669261,5.722216,1.308192,-3.064151,-1.425228,-0.321904,1.520263,2.511246,Spot
4,3.824112,4.428571,4.285714,2.484376,-1.339735,4.060606,5.246212,1.578558,-2.245553,-0.905818,2.40856,5.26602,1.301236,-2.522876,-1.183141,-0.277323,1.493921,2.486278,Spot
5,3.053757,4.285714,5.238095,2.167152,-0.886605,2.909091,4.960227,1.514053,-1.539704,-0.6531,2.178988,4.780338,1.293296,-1.76046,-0.873856,-0.220756,1.466565,2.431472,Spot
