@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
0,1.821102,1.857143,1.142857,1.669705,-0.151398,2,1.75,1.752054,-0.069048,0.08235,1.53617,1.771122,1.764008,-0.057095,0.094303,0.011954,1.679295,2.076819,NotSpot
2,1.710343,1.428571,1.952381,1.683114,-0.027229,1.69697,1.342803,1.760444,0.050102,0.07733,1.587234,1.935734,1.762836,0.052493,0.079721,0.002391,1.681907,2.062803,NotSpot
1,1.918139,2,2,1.937853,0.019714,1.939394,1.433712,1.917051,-0.001088,-0.020802,1.851064,2.272595,1.837906,-0.080233,-0.099947,-0.079145,1.815807,2.232717,NotSpot
1,1.976893,1.142857,0.809524,1.93343,-0.043463,2.181818,2.340909,1.906236,-0.070657,-0.027194,1.842553,2.218694,1.83816,-0.138734,-0.095271,-0.068076,1.80209,2.263421,NotSpot
1,2.169097,2.571429,2.285714,1.943515,-0.225582,2.272727,2.704545,1.895819,-0.273278,-0.047696,1.812766,2.28958,1.837786,-0.33131,-0.105728,-0.058032,1.818419,2.250667,NotSpot
2,2.236008,1.428571,0.619048,1.948087,-0.287921,2.454545,2.818182,1.886719,-0.349289,-0.061367,1.73617,2.220695,1.836859,-0.399149,-0.111228,-0.04986,1.790986,2.170664,NotSpot
3,2.23377,2.714286,2.238095,1.938917,-0.294853,2.30303,2.217803,1.879431,-0.35434,-0.059487,1.791489,2.430696,1.83542,-0.39835,-0.103497,-0.044011,1.777923,2.183329,NotSpot
3,2.151891,2.428571,1.952381,1.925943,-0.225949,2.090909,1.835227,1.873717,-0.278174,-0.052225,1.868085,2.533806,1.833663,-0.318228,-0.09228,-0.040054,1.759634,2.170945,NotSpot
4,2.040296,2.428571,0.952381,1.921345,-0.118951,2.090909,1.460227,1.869485,-0.170811,-0.05186,1.821277,2.318349,1.831479,-0.208817,-0.089866,-0.038006,1.747877,2.145543,NotSpot
1,2.039108,2.142857,2.142857,1.924738,-0.11437,2.030303,1.592803,1.865779,-0.17333,-0.058959,1.855319,2.449064,1.82916,-0.209948,-0.095578,-0.036619,1.720444,2.106111,NotSpot
4,2.153886,2.428571,2.619048,1.925085,-0.228801,2.151515,1.882576,1.862161,-0.291725,-0.062924,1.868085,2.371413,1.826621,-0.327265,-0.098464,-0.03554,1.725016,2.111916,NotSpot
2,2.165855,2.285714,1.571429,1.913684,-0.252171,2.212121,1.734848,1.858333,-0.307522,-0.055351,1.817021,2.150136,1.823948,-0.341908,-0.089737,-0.034385,1.740039,2.11669,NotSpot
0,2.029493,2.285714,1.571429,1.895324,-0.13417,2.212121,1.609848,1.85349,-0.176003,-0.041834,1.812766,2.092999,1.821185,-0.208308,-0.074139,-0.032305,1.728935,2.110136,NotSpot
2,1.955689,1.857143,1.809524,1.879836,-0.075853,2.030303,1.717803,1.847433,-0.108256,-0.032403,1.834043,2.318494,1.818366,-0.137323,-0.061471,-0.029067,1.727629,2.109426,NotSpot
