@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
12267,21959.207031,-7430.314453,21200.572266,89606760,15706.833008,-6252.374023,-2267.502441,23676.636719,347425824,10196.916016,-11762.291016,-5509.916992,-383.724823,16028.661133,270753984,7730.42627,-14228.78125,-7976.406738,-2466.489746,-38.147083,9679.818359,78493736,Spot
23036,26837.664063,-8353.538086,28977.142578,578379264,18174.855469,-8662.808594,-3555.546387,28271.302734,412893088,10508.870117,-16328.793945,-7665.985352,-453.861572,18555.835938,333233792,7756.75,-19080.914063,-10418.105469,-2752.120117,-39.45697,9735.246094,78281696,Spot
13579,28831.15625,-4050.875977,25264.142578,355266496,19662.230469,-9168.925781,-4357.737793,32032.636719,570990592,10686.6875,-18144.46875,-8975.542969,-493.286133,20330.322266,349041888,7774.131836,-21057.023438,-11888.098633,-2912.555664,-40.240952,9747.977539,78211040,Spot
25063,24710.111328,-13765.84375,33042.144531,367266048,16231.557617,-8478.553711,-2674.098389,25235.939453,305135648,10205.416992,-14504.694336,-6026.140625,-393.252808,16244.070313,283485088,7725.48291,-16984.628906,-8506.074219,-2479.934082,-37.840279,9600.229492,78402216,Spot
61289,30417.539063,-15415.677734,35303.570313,435122624,18859.289063,-11558.25,-4107.825684,30869.212891,430794816,10524.650391,-19892.888672,-8334.638672,-465.827606,18936.748047,333219168,7751.95752,-22665.582031,-11107.332031,-2772.692871,-39.159935,9721.017578,78634440,Spot
26252,33104.457031,-12501.443359,38724.144531,461684896,20400.470703,-12703.986328,-4966.254883,34745.757813,516557248,10706.774414,-22397.683594,-9693.696289,-506.276398,20700.623047,351505408,7769.646484,-25334.810547,-12630.824219,-2937.12793,-39.961285,9699.870117,78468416,Spot
22985,15918.819336,-4690.650391,16522.572266,141815472,12867.496094,-3051.323242,-1068.317261,17162.060547,161344192,9679.375,-6239.444336,-3188.121094,-283.684174,13267.762695,202726832,7679.144043,-8239.675781,-5188.352051,-2000.230957,-35.298531,9495.292969,78748544,Spot
14224,21685.738281,-7680.421875,27299.285156,138962768,15565.132813,-6120.605469,-2335.587646,21661.273438,296143936,10081.642578,-11604.095703,-5483.490234,-370.950287,15765.082031,266813520,7712.728516,-13973.009766,-7852.404297,-2368.914063,-37.037605,9540.443359,78496992,Spot
36764,27864.263672,-10998.806641,29689.714844,379169632,18054.275391,-9809.988281,-3699.031738,29665.394531,450340832,10393.992188,-17470.271484,-7660.283203,-441.084229,18263.373047,316440704,7739.031738,-20125.232422,-10315.244141,-2654.960449,-38.342258,9643.261719,78567608,Spot
43609,32346.503906,-16942.806641,43280.714844,377560160,19506.421875,-12840.082031,-4530.908691,32525.060547,521285408,10573.244141,-21773.259766,-8933.177734,-480.075226,19606.732422,334930336,7756.82959,-24589.673828,-11749.591797,-2816.414551,-39.146328,9644.344727,78527104,Spot
12478,12659.361328,-1389.546509,13894.571289,52424608,11717.033203,-942.328125,-535.82489,13731.151367,92843648,9464.584961,-3194.776367,-2252.448242,-242.502838,12190.466797,172302464,7659.76709,-4999.594238,-4057.266113,-1804.817871,-34.096859,9408.509766,78698200,Spot
23620,16281.90625,-580.270874,15405.286133,19559604,13969.802734,-2312.103516,-1488.38916,15454.09082,180092096,9839.389648,-6442.516602,-4130.413086,-321.111633,14383.34668,224358400,7692.516113,-8589.390625,-6277.286621,-2146.873535,-35.770878,9496.060547,78690032,Spot
16510,22021.277344,-4982.105957,23445.285156,434135584,16076.444336,-5944.833008,-2596.075195,23926.455078,395593952,10131.733398,-11889.543945,-5944.710938,-384.467957,16537.275391,277358880,7718.312988,-14302.964844,-8358.130859,-2413.42041,-37.034992,9538.642578,78651904,Spot
16979,12069.924805,827.493408,12803.286133,39521372,11994.731445,-75.193359,-582.072144,11149.666992,85634944,9509.337891,-2560.586914,-2485.393555,-253.514862,12462.249023,168203392,7665.837891,-4404.086914,-4328.893555,-1843.5,-34.105282,9417.109375,78808400,Spot
6161,16245.098633,-2365.609375,18301.285156,271470816,13596.1875,-2648.911133,-1346.713623,16739.03125,258780736,9771.063477,-6474.035156,-3825.124023,-306.971161,14181.953125,216228128,7690.815918,-8554.283203,-5905.371582,-2080.247559,-35.304798,9540.712891,78800768,Spot
35958,34969.867188,-22016.712891,44706.714844,538972352,18995.039063,-15974.828125,-4942.310547,36600.210938,470705312,10055.739258,-24914.128906,-8939.299805,-444.910461,18383.326172,257333824,7511.174805,-27458.691406,-11483.864258,-2544.564453,-34.775108,9166.671875,59685736,Spot
65535,28457.019531,-17654.683594,37016.285156,507307712,17110.613281,-11346.40625,-3658.925781,28300.697266,346705632,9876.835938,-18580.183594,-7233.777344,-401.014313,16920.863281,231377584,7495.041992,-20961.976563,-9615.571289,-2381.793945,-34.228683,9143.368164,59555552,Spot
8705,19996.287109,-7905.131836,27722.714844,446001600,14495.262695,-5501.024414,-2062.95166,20383,265933200,9586.717773,-10409.569336,-4908.544922,-332.626404,14873.109375,191942368,7470.82959,-12525.457031,-7024.433105,-2115.888184,-33.213623,9110.086914,59217668,Spot
27965,32510.757813,-16634.976563,40221.429688,479897984,18612.064453,-13898.693359,-4655.990723,34454.03125,483481824,10015.779297,-22494.978516,-8596.285156,-437.262268,17992.878906,258781504,7513.815918,-24996.941406,-11098.248047,-2501.963379,-34.34848,9209.245117,59753688,Spot
65535,36982.628906,-23938.013672,46372.570313,384263616,19739.175781,-17243.453125,-5415.327637,38146.816406,402248096,10113.84668,-26868.78125,-9625.329102,-463.331787,18955.105469,253838064,7513.02002,-29469.609375,-12226.15625,-2600.82666,-34.725945,9171.595703,59947500,Spot
65535,35143.503906,-23818.246094,50299.855469,295574848,19215.564453,-15927.939453,-5010.03418,34679.152344,452109920,10070.599609,-25072.904297,-9144.964844,-453.163849,18520.591797,253820544,7504.306641,-27639.197266,-11711.257813,-2566.292969,-34.626453,9191.333008,59854264,Spot
