@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
2321,4460.121582,4205.285645,1564411.875,4024.685547,-435.436035,4666.121094,4105965.5,3365.04541,-1095.076172,-659.640137,3878.319092,7570983,2461.026611,-1999.094971,-1563.658936,-904.018799,2985.638916,8273416.5,NotSpot
5853,5526.784668,6449.714355,5128588.5,4372.681641,-1154.103027,5900.90918,8795304,3529.106201,-1997.678467,-843.575439,4173.344727,8705757,2494.203125,-3032.581543,-1878.478516,-1034.903076,3052.615967,8948902,NotSpot
9009,6409.577637,7199.571289,13052328,5200.319336,-1209.258301,6314.788086,15314328,4020.611816,-2388.96582,-1179.70752,5187.250977,14959826,2702.945557,-3706.63208,-2497.373779,-1317.66626,3484.638916,10401183,NotSpot
3072,6083.985352,5973.714355,3910094,5390.48291,-693.502441,6366.333496,6757793,4202.94043,-1881.044922,-1187.54248,5309.391602,13782710,2759.783691,-3324.20166,-2630.699219,-1443.156738,3674.339111,11411152,NotSpot
6592,6527.415039,7309.714355,986371.25,5401.788086,-1125.626953,6977.788086,6306052,4296.996582,-2230.418457,-1104.791504,5185.22998,12014344,2810.50293,-3716.912109,-2591.285156,-1486.493652,3862.529053,12655493,NotSpot
7745,6162.025879,5884.714355,5890329.5,5519.348145,-642.677734,6637,10306004,4496.208008,-1665.817871,-1023.140137,5270.987305,12065220,2966.449707,-3195.576172,-2552.898438,-1529.758301,4032.312256,12427834,NotSpot
3660,6210.629395,5967.856934,7125206.5,5543.772949,-666.856445,6696.939453,10607681,4507.768066,-1702.861328,-1036.004883,5429.96582,12685261,3000.284912,-3210.344482,-2543.488037,-1507.483154,4017.492432,12244575,NotSpot
6349,6424.73291,5632.714355,3289031,5668.700684,-756.032227,6702.181641,8502779,4665.246094,-1759.486816,-1003.45459,5455.216797,12365507,3144.601074,-3280.131836,-2524.099609,-1520.64502,4186.617188,12421174,NotSpot
8297,5497.174316,4390.571289,3440503.25,5497.57959,0.405273,5417.09082,4989470.5,4659.308594,-837.865723,-838.270996,5414.761719,11754806,3157.900879,-2339.273438,-2339.678711,-1501.407715,4183.135742,12273006,NotSpot
4950,6264.445801,6284.856934,11164953,5597.608887,-666.836914,6677.211914,9389417,4801.251465,-1463.194336,-796.357422,5538.004395,12108679,3288.120117,-2976.325684,-2309.48877,-1513.131348,4343.537598,12414959,NotSpot
6988,6796.662109,7192,2841225.25,5811.751953,-984.910156,7064.727051,7197046,4825.918457,-1970.743652,-985.833496,5724.446777,12785440,3278.398438,-3518.263672,-2533.353516,-1547.52002,4401.80127,12530815,NotSpot
2604,6517.031738,6916.714355,11425573,5881.572754,-635.458984,6869.36377,9369362,4945.935547,-1571.096191,-935.637207,5843.821289,13112746,3392.68457,-3124.347168,-2488.888184,-1553.250977,4498.578613,12356561,NotSpot
4486,6647.552246,7408.856934,11955206,5794.814941,-852.737305,6717.54541,10399092,4831.021973,-1816.530273,-963.792969,5674.804199,12401017,3252.31958,-3395.232666,-2542.495361,-1578.702393,4399.133301,12702565,NotSpot
10684,5771.74707,6354.714355,4530385,4605.387695,-1166.359375,5817.151367,6935193.5,3810.033936,-1961.713135,-795.35376,4298.081055,9345329,2717.051025,-3054.696045,-1888.33667,-1092.98291,3359.548096,9611411,NotSpot
9830,6212.896484,8373.428711,2646715.5,4775.908203,-1436.988281,6119.151367,9175274,3994.040771,-2218.855713,-781.867432,4436.11084,10234295,2836.844482,-3376.052002,-1939.063721,-1157.196289,3533.393799,9867202,NotSpot
3385,5589.139648,6695.571289,3267266.5,4695.791992,-893.347656,5799.696777,8230446.5,3860.523438,-1728.616211,-835.268555,4413.225586,11010246,2721.394287,-2867.745361,-1974.397705,-1139.12915,3372.973145,9821904,NotSpot
34769,16483.429688,20494.285156,286186240,12554.026367,-3929.40332,16075.333008,255533616,8449.569336,-8033.860352,-4104.457031,12624.574219,260565264,5626.608887,-10856.820313,-6927.41748,-2822.960449,7517.481445,116367784,Spot
8247,13729.854492,16891.142578,226977504,11023.381836,-2706.472656,14194.848633,198580752,7991.359375,-5738.495117,-3032.022461,11226.371094,223558672,5519.995117,-8209.859375,-5503.386719,-2471.364258,7333.088867,115133288,Spot
37882,29084.455078,35012.285156,405110048,17509.773438,-11574.681641,30887.697266,426740768,9504.682617,-19579.773438,-8005.09082,17430,373813184,5796.497559,-23287.957031,-11713.275391,-3708.185059,7841.205566,116846672,Spot
52580,26989.587891,38816.714844,236792112,16282.186523,-10707.401367,25657.757813,419518784,9173.925781,-17815.662109,-7108.260742,15913.160156,348304352,5703.259766,-21286.328125,-10578.926758,-3470.666016,7707.756836,117052944,Spot
31756,21885.167969,28030.285156,430311424,14085.347656,-7799.820313,22732.878906,383048288,8648.390625,-13236.777344,-5436.957031,14087.644531,302938752,5594.75,-16290.417969,-8490.597656,-3053.640625,7515.976563,116610768,Spot
27210,25801.335938,32990.570313,344864576,16606.291016,-9195.044922,26755.03125,421380768,9721.611328,-16079.724609,-6884.679688,16434.386719,324311296,6027.519043,-19773.816406,-10578.771484,-3694.092285,8337.675781,115147032,Spot
40817,33344.34375,36696,441329952,19471.904297,-13872.439453,36259.425781,465960448,10082.661133,-23261.683594,-9389.243164,19386.105469,391445728,5990.695801,-27353.648438,-13481.208984,-4091.965332,8215.119141,115664824,Spot
59369,38661.34375,50571.285156,275730496,21189.390625,-17471.953125,39549.515625,450620192,10224.045898,-28437.296875,-10965.344727,20479.292969,409102304,5934.473145,-32726.871094,-15254.917969,-4289.572754,8095.792969,116238880,Spot
