@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute class {Spots,'No Spots'}

@data
6,7.087964,-1.018986,11,7.142857,6,6.476191,6.184618,-0.903347,-0.64684,14,7.454545,7,9.005682,'No Spots'
9,7.46511,-1.774444,10,7.428571,9,7.619048,6.348627,-1.116483,-0.683501,14,7.727273,8,9.579545,'No Spots'
7,7.692556,-2.501666,11,9.428572,10,1.619048,6.401905,-1.290651,-0.676704,14,7.575758,8,10.751894,'No Spots'
7,7.396412,-2.78768,11,9.285714,10,3.571429,6.091383,-1.305029,-0.564698,13,7.636364,7,8.551136,'No Spots'
7,7.649579,-1.805093,9,7.142857,7,3.142857,6.410501,-1.239079,-0.677065,12,8.090909,8,7.272727,'No Spots'
6,7.890077,-1.669459,12,8.285714,7,6.904762,6.633116,-1.256961,-0.741613,14,8.424242,9,9.064394,'No Spots'
10,8.214999,-2.644477,14,9.142858,9,8.142858,6.730517,-1.484482,-0.757722,14,8.575758,9,8.064394,'No Spots'
11,8.220338,-2.932346,11,9.142858,9,2.809524,6.703748,-1.51659,-0.728112,14,8.212121,9,8.297348,'No Spots'
7,7.774794,-1.849317,11,8.285714,8,4.571429,6.579004,-1.19579,-0.658642,14,8.212121,8,8.359848,'No Spots'
10,7.786895,-2.731402,10,8.428572,9,1.952381,6.450317,-1.336578,-0.629179,13,7.818182,7,9.465909,'No Spots'
9,8.196085,-2.677496,12,9.571428,10,4.285714,6.737803,-1.458282,-0.730351,13,8.242424,8,7.939394,'No Spots'
12,8.480227,-3.089538,13,9.714286,9,5.904762,6.905206,-1.575021,-0.777767,14,8.424242,9,7.689394,'No Spots'
