@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute class {Spot,NotSpot}

@data
16,28.236486,10.363324,8.266076,5.559978,-3.46273,21.281574,18.823706,-9.412781,1.933209,1.734752,0.60443,-4.272391,4.064229,10.339637,-17.896851,-8.484069,0.209179,0.154923,0.12042,-0.484521,0.380684,7.659,-20.577486,-11.164705,-2.680637,0.016728,0.009279,0.008472,-0.034478,0.025327,Spot
29,36.105843,12.791066,8.225194,3.420522,-17.595737,23.556639,20.133026,-15.972816,2.189331,1.977827,1.148138,-5.315295,3.709459,10.460062,-25.645781,-9.672964,0.21428,0.161094,0.13529,-0.510664,0.337618,7.672955,-28.432888,-12.460072,-2.787107,0.016767,0.009759,0.008564,-0.03509,0.019629,Spot
11,32.526726,14.538038,5.97983,4.613975,-13.172183,21.179583,19.348841,-13.177885,2.170308,1.745826,0.754056,-4.67019,3.808989,10.421389,-22.105337,-8.927452,0.211319,0.15739,0.127737,-0.496446,0.350505,7.676802,-24.849924,-11.672039,-2.744587,0.016747,0.009926,0.008416,-0.035089,0.017054,Spot
9,20.605734,11.409157,7.32432,0.406372,3.678465,14.917392,16.868782,-3.736952,1.683621,1.267273,0.182022,-2.768872,3.939292,10.232292,-10.373442,-6.63649,0.200747,0.145259,0.099354,-0.44536,0.403726,7.670916,-12.934818,-9.197866,-2.561377,0.016671,0.009858,0.007963,-0.034492,0.018877,Spot
7,14.465476,8.79873,3.306059,0.529673,4.962998,9.222661,14.270042,-0.195434,1.183602,0.999181,0.84139,-1.341393,3.708683,9.848983,-4.616493,-4.42106,0.185,0.130057,0.05921,-0.374267,0.481874,7.618269,-6.847207,-6.651773,-2.230714,0.016627,0.008392,0.007266,-0.032285,0.035467,Spot
11,27.112385,9.912779,8.964191,5.090607,-6.039194,18.492136,18.024063,-9.088322,1.914441,1.583793,0.303165,-3.801399,4.046777,10.240762,-16.871624,-7.783301,0.203237,0.150629,0.110326,-0.464192,0.413525,7.650309,-19.462076,-10.373755,-2.590453,0.016773,0.009199,0.00806,-0.034031,0.02778,Spot
70,45.337292,17.759342,14.218747,6.189774,-38.167862,21.697586,21.315161,-24.022131,2.559964,2.1296,1.704935,-6.394499,3.156703,10.518353,-34.818939,-10.796808,0.215644,0.164661,0.149554,-0.529859,0.320511,7.673375,-37.663918,-13.641786,-2.844977,0.016866,0.009865,0.0085,-0.035231,0.019464,Spot
129,56.092926,25.577122,19.874382,17.243841,-62.695343,13.79338,22.771749,-33.321175,2.920565,2.589475,2.103526,-7.613566,1.899403,10.644356,-45.44857,-12.127394,0.220562,0.169727,0.167412,-0.557702,0.254107,7.686673,-48.406254,-15.085077,-2.957683,0.016903,0.010241,0.008694,-0.035838,0.011551,Spot
86,47.594967,23.945299,12.843656,7.926216,-44.715172,19.522949,21.705011,-25.889956,2.754505,2.169982,1.669024,-6.593511,2.794139,10.602678,-36.992287,-11.102333,0.217685,0.168123,0.156125,-0.541933,0.277208,7.689706,-39.905262,-14.015306,-2.912972,0.016878,0.010316,0.008626,-0.03582,0.007897,Spot
14,27.577538,11.275257,9.69889,2.630494,-4.206861,19.189959,18.667225,-8.910313,2.118391,1.497459,0.404808,-4.020658,3.799953,10.402761,-17.174776,-8.264463,0.20715,0.157045,0.122286,-0.486481,0.359011,7.682879,-19.894657,-10.984345,-2.719882,0.016795,0.010171,0.00823,-0.035196,0.012692,Spot
6,14.261662,10.439898,3.147899,0.568439,7.860436,7.570495,15.035191,0.773529,1.381152,0.897513,0.777668,-1.500997,3.570428,10.077372,-4.18429,-4.957819,0.190223,0.139328,0.074006,-0.403557,0.433075,7.666761,-6.594901,-7.36843,-2.410611,0.016657,0.00991,0.007453,-0.03402,0.019883,Spot
6,15.498443,9.07092,3.705016,0.890099,4.475806,9.853438,14.549252,-0.949191,1.298007,1.03387,0.777376,-1.554502,3.637835,9.864966,-5.633476,-4.684285,0.183944,0.13474,0.059401,-0.378085,0.480283,7.624663,-7.87378,-6.924589,-2.240304,0.016707,0.008959,0.006865,-0.032531,0.033229,Spot
13,29.335264,12.064963,6.653297,5.967064,-11.378731,18.516489,18.272429,-11.062836,2.080446,1.602421,0.331667,-4.014534,3.885353,10.255624,-19.079639,-8.016805,0.201376,0.155703,0.110655,-0.467734,0.41224,7.655879,-21.679386,-10.61655,-2.599745,0.016852,0.009725,0.007672,-0.034249,0.025144,Spot
105,47.488297,23.852364,15.399479,7.989781,-47.241623,18.318533,21.451254,-26.037043,2.747761,2.074894,1.661594,-6.484249,2.976771,10.532047,-36.956249,-10.919207,0.212508,0.170111,0.150297,-0.532916,0.320296,7.678041,-39.810257,-13.773212,-2.854006,0.016944,0.010266,0.008211,-0.03542,0.016209,Spot
147,55.137203,25.327721,19.219641,17.596764,-62.144127,15.177329,22.752922,-32.384281,2.853077,2.494603,2.147389,-7.49507,2.012065,10.657081,-44.480122,-12.095841,0.216258,0.175243,0.168729,-0.560229,0.255684,7.690376,-47.446827,-15.062546,-2.966705,0.016976,0.010506,0.008516,-0.035998,0.006897,Spot
94,44.207031,18.565907,11.598114,6.006135,-36.170158,23.03973,21.576773,-22.630259,2.573937,2.039607,1.715545,-6.329089,3.014736,10.615055,-33.591976,-10.961718,0.213875,0.17229,0.157946,-0.544112,0.279205,7.69243,-36.514603,-13.884342,-2.922625,0.016946,0.010447,0.00856,-0.035953,0.003214,Spot
11,25.165083,12.326049,10.043919,1.880764,0.401366,18.446527,18.535786,-6.629297,2.062518,1.414523,0.302102,-3.779142,3.854756,10.415537,-14.749546,-8.120249,0.204717,0.161466,0.122454,-0.488636,0.35972,7.684633,-17.48045,-10.851152,-2.730904,0.016856,0.010185,0.008264,-0.035306,0.011961,Spot
7,13.853521,10.086482,3.296329,1.020286,7.81044,6.184009,14.986219,1.132698,1.391718,0.852636,0.843019,-1.401335,3.511637,10.09144,-3.762081,-4.894779,0.188947,0.143911,0.073206,-0.406064,0.432181,7.667559,-6.185963,-7.318661,-2.423882,0.016711,0.009861,0.007537,-0.034108,0.020216,Spot
